,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
85,3/27/2021,9086532,583027,568476,10320,4231,4448531,633855,5082386,91917614,2499459,1948561,511,4619136,463250
86,3/28/2021,9113077,583839,568909,10322,4608,4453685,634050,5087735,91912265,2502055,1951119,511,4624344,463391
87,3/29/2021,9131193,584666,569366,10324,4976,4475456,635490,5110946,91889054,2513314,1961626,516,4643655,467291
88,3/30/2021,9149062,585305,569828,10325,5152,4671332,652386,5323718,91676282,2613576,2057218,538,4837410,486308
89,3/31/2021,9172599,585933,570303,10327,5303,4798424,669015,5467439,91532561,2676605,2121264,555,4964440,502999
90,4/1/2021,9198365,586915,570811,10329,5775,4932709,681742,5614451,91385549,2742833,2189310,566,5098631,515820
91,4/2/2021,9225351,588189,571345,10331,6513,5103078,693906,5796984,91203016,2825920,2276577,581,5266017,530967
92,4/3/2021,9251465,589922,571895,10335,7692,5260046,707854,5967900,91032100,2902501,2356946,599,5424468,543432
93,4/4/2021,9278233,591658,572474,10340,8844,5427490,720668,6148158,90851842,2985675,2441198,617,5592150,556008
94,4/5/2021,9304407,593615,573118,10344,10153,5657151,739324,6396475,90603525,3097050,2559453,648,5824327,572148
95,4/6/2021,9333801,595576,573782,10348,11446,5881580,758183,6639763,90360237,3204767,2676149,664,6049957,589806
96,4/7/2021,9363195,597634,574504,10355,12775,6222811,797802,7020613,89979387,3370530,2851586,695,6393866,626747
97,4/8/2021,9396694,600024,575371,10363,14290,6465014,846672,7311686,89688314,3492756,2971542,716,6647848,663838
98,4/9/2021,9432811,602807,576328,10370,16109,6783892,889377,7673269,89326731,3647663,3135469,760,6962276,710993
99,4/10/2021,9469676,606455,577474,10378,18603,6972586,918582,7891168,89108832,3741766,3230032,788,7138151,753017
100,4/11/2021,9510048,610498,578742,10390,21366,7051017,931259,7982276,89017724,3782206,3268014,797,7205793,776483
101,4/12/2021,9547164,614896,580515,10400,23981,7241680,983108,8224788,88775212,3877922,3362932,826,7389157,835631
102,4/13/2021,9589378,619407,582462,10414,26531,7328009,1017050,8345059,88654941,3926414,3400769,826,7472245,872814
103,4/14/2021,9632841,624224,584740,10434,29050,7398413,1044479,8442892,88557108,3964545,3433037,831,7546530,896362
104,4/15/2021,9674962,630116,587037,10458,32621,7415379,1053426,8468805,88531195,3974353,3440191,835,7565196,903609
105,4/16/2021,9715115,636885,589424,10480,36981,7499090,1109692,8608782,88391218,4018864,3479382,844,7678667,930115
106,4/17/2021,9762086,643795,592242,10506,41047,7577053,1162663,8739716,88260284,4060679,3515521,853,7785952,953764
107,4/18/2021,9808160,651508,595668,10540,45300,7593056,1171094,8764150,88235850,4069772,3522428,856,7803934,960216
108,4/19/2021,9850278,659927,599721,10568,49638,7701111,1275030,8976141,88023859,4128110,3572137,864,7989460,986681
109,4/20/2021,9900322,668353,604329,10606,53418,7830594,1379100,9209694,87790306,4198697,3631015,882,8201847,1007847
110,4/21/2021,9950336,678172,609134,10652,58386,7934464,1461604,9396068,87603932,4254741,3678829,894,8369874,1026194
111,4/22/2021,10003490,688956,614750,10710,63496,8024582,1533651,9558233,87441767,4303341,3720337,904,8516923,1041310
